id,album_type,name,artists,genres,popularity,url
60mvULtYiNSRmpVvoa3RE4,single,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],"[""Pitbull""]",[],68,https://open.spotify.com/album/60mvULtYiNSRmpVvoa3RE4
4JXziyWNlxM4oPw34PMjVj,album,A13,"[""Garnier""]",[],28,https://open.spotify.com/album/4JXziyWNlxM4oPw34PMjVj
1SIpLwZu1R69coxKMH06kw,album,May Death Never Stop You,"[""My Chemical Romance""]",[],70,https://open.spotify.com/album/1SIpLwZu1R69coxKMH06kw
5qZNAZ5xJCUAiyYoETU0aj,single,Keep Watch,"[""Wu-Tang Clan""]",[],58,https://open.spotify.com/album/5qZNAZ5xJCUAiyYoETU0aj
5ZzFFF7wSMmGaIWjAHElnW,album,By Any Means,"[""Kevin Gates""]",[],70,https://open.spotify.com/album/5ZzFFF7wSMmGaIWjAHElnW
0LKHTm8YOJH9ygGm8DWv40,single,Depth of My Soul (feat. Shana Halligan),"[""Thievery Corporation""]",[],40,https://open.spotify.com/album/0LKHTm8YOJH9ygGm8DWv40
1dKh4z5Aayt8FFDWjO5FDh,album,Singles,"[""Future Islands""]",[],71,https://open.spotify.com/album/1dKh4z5Aayt8FFDWjO5FDh
33jUyJOx4j6BWJ7VkzWoth,album,Out Among The Stars,"[""Johnny Cash""]",[],65,https://open.spotify.com/album/33jUyJOx4j6BWJ7VkzWoth
4kE1w1zgP6Ag6Ojbuxzk7l,album,Underneath the Rainbow (Bonus Track Version),"[""Black Lips""]",[],52,https://open.spotify.com/album/4kE1w1zgP6Ag6Ojbuxzk7l
6RCOAR93Gi157qwW771xFG,album,Kiss Me Once (Special Edition),"[""Kylie Minogue""]",[],61,https://open.spotify.com/album/6RCOAR93Gi157qwW771xFG
14GhiNSb8mH3sOnersqp28,single,FALLINLOVE2NITE,"[""Prince""]",[],56,https://open.spotify.com/album/14GhiNSb8mH3sOnersqp28
7rf1qZJ6hGSlPN7K9ShsVV,album,Recess,"[""Skrillex""]",[],79,https://open.spotify.com/album/7rf1qZJ6hGSlPN7K9ShsVV
1YPlEB0kZ4SOyT2kBLgINR,album,Love Letters,"[""Metronomy""]",[],65,https://open.spotify.com/album/1YPlEB0kZ4SOyT2kBLgINR
2BQejnIGjuFugsT71hhOG3,album,The Take Off And Landing Of Everything,"[""Elbow""]",[],59,https://open.spotify.com/album/2BQejnIGjuFugsT71hhOG3
1RUwY4InqOgnkrH1zcl9AI,single,Guilty All The Same (feat. Rakim),"[""Linkin Park""]",[],50,https://open.spotify.com/album/1RUwY4InqOgnkrH1zcl9AI
13xRSfodlL3UtG3xSyL8u2,album,No Mythologies to Follow (Deluxe),"[""MÃ˜""]",[],61,https://open.spotify.com/album/13xRSfodlL3UtG3xSyL8u2
7lAYJiypiPbCDvjKOBX1TV,album,Atlas,"[""Real Estate""]",[],65,https://open.spotify.com/album/7lAYJiypiPbCDvjKOBX1TV
4cCfFozyo6JC8acN8uIP7u,single,Magic,"[""Coldplay""]",[],79,https://open.spotify.com/album/4cCfFozyo6JC8acN8uIP7u
4JHtCtKG5CXJAXYLJtKUEE,album,Somebody's Party - EP,"[""Erik Hassle""]",[],54,https://open.spotify.com/album/4JHtCtKG5CXJAXYLJtKUEE
0Cvy3SH2exFvz8WIX68HSZ,album,Spotify Sessions - Live at Warped Tour 2013,"[""The Summer Set""]",[],35,https://open.spotify.com/album/0Cvy3SH2exFvz8WIX68HSZ
